gene_name,ensembl_gene_ID,UMAP1,UMAP2,gene_module
A1BG-AS1,ENSG00000268895,2.6887405,3.3426805,0
A1BG,ENSG00000121410,1.3206712,5.52416,1
A2M-AS1,ENSG00000245105,3.471943,6.0593715,2
A2ML1-AS1,ENSG00000256661,3.6718519,7.656207,3
A2ML1,ENSG00000166535,3.119949,9.193824,3
A2M,ENSG00000175899,-1.73849,6.9807434,4
A3GALT2,ENSG00000184389,3.7779098,6.4794803,2
A4GALT,ENSG00000128274,-2.142365,3.316997,1
AACS,ENSG00000081760,11.047631,2.7330384,5
AADACL2-AS1,ENSG00000262466,3.5415268,3.9856029,6
AAGAB,ENSG00000103591,5.5563645,2.021714,7
AAK1,ENSG00000115977,12.576647,4.6951985,8
AAMP,ENSG00000127837,5.85923,5.61335,9
AANAT,ENSG00000129673,2.815405,5.1271467,10
AARD,ENSG00000205002,5.5686154,3.454791,11
AARS2,ENSG00000124608,4.08877,4.0896764,12
AASDHPPT,ENSG00000149313,13.496286,2.8967137,5
AASS,ENSG00000008311,6.8508487,-2.3229375,13
AATK,ENSG00000181409,5.012977,-2.1024625,12
ABAT,ENSG00000183044,6.2491245,2.7555854,11
ABCA10,ENSG00000154263,10.478844,1.59674,14
ABCA12,ENSG00000144452,3.3561919,4.5976763,2
ABCA13,ENSG00000179869,2.5619264,5.6835265,2
ABCA1,ENSG00000165029,3.0967064,8.667097,3
ABCA2,ENSG00000107331,4.756589,-2.8644361,12
ABCA3,ENSG00000167972,9.669317,3.0724194,5
ABCA4,ENSG00000198691,4.1824102,2.5276258,10
ABCA5,ENSG00000154265,11.721218,3.453644,14
ABCA6,ENSG00000154262,5.391147,2.39496,7
ABCA8,ENSG00000141338,4.6774426,-3.5333366,12
ABCA9-AS1,ENSG00000231749,2.565278,5.4426975,2
ABCA9,ENSG00000154258,5.460905,2.4487758,7
ABCB11,ENSG00000276582,3.5054462,5.6590915,2
ABCB1,ENSG00000085563,-1.9986997,3.4600463,1
ABCB4,ENSG00000005471,0.7241622,7.02015,4
ABCB5,ENSG00000004846,3.4081762,5.1909513,2
ABCB6,ENSG00000115657,3.3738205,6.628449,2
ABCC11,ENSG00000121270,3.080052,6.0474997,2
ABCC12,ENSG00000140798,4.6098876,2.4341955,10
ABCC2,ENSG00000023839,2.3093135,5.993013,2
ABCC3,ENSG00000108846,2.8283675,2.1676388,0
ABCC4,ENSG00000125257,-2.5931137,7.63248,4
ABCC5,ENSG00000114770,10.341603,2.5150583,5
ABCC6,ENSG00000275331,3.6989105,5.600439,2
ABCC8,ENSG00000006071,6.14677,1.6746004,0
ABCC9,ENSG00000069431,3.3311765,10.028723,3
ABCD1,ENSG00000101986,1.2800967,6.258778,2
ABCD2,ENSG00000173208,3.2642727,8.74971,3
ABCD3,ENSG00000117528,4.7205954,6.103091,9
ABCF2,ENSG00000033050,2.5701153,4.8847494,6
ABCG2,ENSG00000118777,-1.8045856,3.6123254,1
ABCG4,ENSG00000172350,5.993558,4.398515,9
ABCG5,ENSG00000138075,2.703653,2.8211432,0
ABCG8,ENSG00000143921,3.7339215,3.8840027,10
ABHD11,ENSG00000106077,2.8970127,6.64589,2
ABHD12B,ENSG00000131969,3.371852,6.5217605,2
ABHD12,ENSG00000100997,9.307982,3.5215235,5
ABHD14A-ACY1,ENSG00000114786,3.444457,5.53705,2
ABHD14A,ENSG00000248487,4.0092154,5.776291,10
ABHD14B,ENSG00000114779,2.2079988,4.7124414,6
ABHD15-AS1,ENSG00000264031,0.630613,6.4949613,4
ABHD15,ENSG00000168792,3.1344275,7.2152104,2
ABHD16A,ENSG00000204427,3.4067721,4.990542,2
ABHD17A,ENSG00000129968,7.437639,4.325577,9
ABHD18,ENSG00000164074,8.674066,0.9162117,7
ABHD1,ENSG00000143994,3.3779614,4.9777327,2
ABHD2,ENSG00000140526,7.7517962,-2.33882,13
ABHD3,ENSG00000158201,1.0734354,6.5837173,4
ABHD8,ENSG00000127220,13.336088,2.7472908,5
ABI1,ENSG00000136754,3.8948314,8.612638,3
ABI2,ENSG00000138443,12.374047,4.7964845,8
ABI3BP,ENSG00000154175,1.2691967,7.3727384,11
ABI3,ENSG00000108798,-2.6897097,7.692921,4
ABL2,ENSG00000143322,9.828555,1.3914503,14
ABLIM1,ENSG00000099204,3.7672436,8.986736,3
ABLIM2,ENSG00000163995,10.299103,2.1199179,14
ABO,ENSG00000281879,-1.4888839,3.7439764,1
ABRACL,ENSG00000146386,7.939232,4.4643292,9
ABRAXAS1,ENSG00000163322,2.6498754,6.6355486,2
ABR,ENSG00000278741,12.934723,2.8259807,5
ABT1,ENSG00000292169,1.0847389,5.242394,1
ABTB1,ENSG00000114626,3.7607298,6.467259,2
ABTB2,ENSG00000166016,5.8425593,-2.109824,13
ACAA2,ENSG00000167315,3.1744187,8.298638,3
ACACA,ENSG00000278540,11.787581,4.226213,8
ACACB,ENSG00000076555,3.5075178,10.06357,3
ACAD11,ENSG00000240303,3.2476408,6.4343805,2
ACADL,ENSG00000115361,6.7212806,2.7770138,11
ACADVL,ENSG00000072778,3.7354102,7.64994,3
ACAN,ENSG00000157766,7.361338,-2.9299846,13
ACAP1,ENSG00000288169,3.5313938,3.8965836,6
ACAP2,ENSG00000114331,11.293791,2.3291175,14
ACAP3,ENSG00000131584,8.148301,2.223133,7
ACBD3-AS1,ENSG00000234478,3.3123682,5.4075704,2
ACBD5,ENSG00000107897,4.98311,3.950153,11
ACBD6,ENSG00000230124,11.297819,2.9418998,14
ACBD7,ENSG00000176244,3.0846465,9.175999,3
ACCS,ENSG00000110455,2.802585,6.5585685,2
ACER1,ENSG00000167769,2.8012486,3.9937174,10
ACER2,ENSG00000177076,0.9111536,5.350815,1
ACER3,ENSG00000078124,6.0808015,0.21052389,7
ACHE,ENSG00000087085,4.7237253,5.0859127,6
ACIN1,ENSG00000100813,6.602191,1.0641743,7
ACKR1,ENSG00000213088,2.7594633,2.9166133,0
ACKR2,ENSG00000144648,3.5896292,6.2413588,2
ACKR3,ENSG00000144476,3.4144812,10.286879,3
ACKR4,ENSG00000129048,3.7171226,4.993317,10
ACLY,ENSG00000131473,5.5640426,5.458192,9
ACMSD,ENSG00000153086,2.9587045,5.8855047,2
ACO2,ENSG00000100412,13.149498,2.8052928,5
